category,source,url,skip,context optional for comprehension,source guarantee optional,strategy,notes
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/nov/05/facebook-posts/despite-sharpiegate-no-evidence-plot-use-pens-canc/,,no,no,Local Counter-Evidence,Based on a flawed assumption.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/nov/03/facebook-posts/kohls-has-t-shirt-line-promotes-racial-equality-it/,,no,no,Local Counter-Evidence,The claim relies on Kohl's announcement to partner with a black-owned business and supports racial equality. This serves as the basis but does not mean that they are affiliated. 
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jul/03/ron-desantis/desantis-falsely-claims-he-was-never-asked-about-c/,,yes,yes,Global Counter-Evidence,Positive counter examples exist.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/nov/02/facebook-posts/no-nancy-pelosis-son-didnt-serve-burisma-board/,,yes,yes,No Evidence Assertion,"No source was provided. The claim is fully comprehensible and the fact-checker did not rely on any additional context. However, they did an extensive search to conclude that no evidence points to this claim."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/sep/09/viral-image/photo-detained-child-migrants-2019-not-2014/,Misrepresented Image,,,,Need to find the original context of the image.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/mar/05/facebook-posts/no-statewide-school-and-business-closures-florida-/,,yes,yes,No Evidence Assertion,"No source was provided. The claim is fully comprehensible but was debunked on ground of no counter evidence exists: There was no media attention, and no such information was found on the official website."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/dec/07/viral-image/no-danish-study-didnt-prove-wearing-masks-ineffect/,,no,no,Local Counter-Evidence,Source guarantee is required to infer that the Danish study the claim relies on cannot be used to fully support the claim.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jul/01/viral-image/social-media-image-about-mask-efficacy-right-senti/,,yes,yes,No Evidence Assertion,No source was provided. At this point no data existed to derive any numbers. The fact-checkers asked experts (who agreed with the sentiment) to find that no evidence can back up these numbers.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/mar/20/facebook-posts/debate-joe-biden-said-no-more-oil-drilling-and-no-/,,yes,no,Local Counter-Evidence,"This is based on a debate in which he said something similar (in the sense of not stopping parts / not starting new drillings), which does not support the claim."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jan/07/viral-image/photo-horse-being-led-through-smoky-burned-field-t/,Misrepresented Image,,,,
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/jul/23/facebook-posts/fbi-has-not-linked-teachers-antifa/,,yes,yes,No Evidence Assertion,No source was provided. They could not find any such statements from FBI or any other intelligence agency.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2020/dec/29/facebook-posts/nashville-explosion-was-suicide-bombing-not-missil/,,yes,no,Local Counter-Evidence,The (ongoing) investigation said the incident was done by a suicide attack. Both (different) event descriptions must be guaranteed to refer to the same incident.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/dec/13/facebook-posts/no-fauci-didnt-say-he-wants-americans-get-four-cov/,,no,no,Non-credible source,"Assuming time and location are known one can assume that the reference to COVID vaccines is clear. It does need more context though, as no counter-evidence exists (he did not say that), but the claim is debunked due to relying on a satire article."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/nov/30/blog-posting/vaccinated-people-england-are-not-dying-faster-rat/,,no,no,Local Counter-Evidence,The claim references an article from which it falsely computes this statistic (comparing raw numbers when 90% are vaccinated).
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/dec/15/blog-posting/vaers-data-misused-spread-fears-about-vaccines-imp/,,no,no,Non-credible source,"This falsely assumes VAERS is the new document (and proof). VAERS is not reliable and the data cannot be used for such causal conclusions. The source guarantee is required to debunk the claim based on unverified / insufficient data. Theoretically, recommendations from the CDC for pregnant women exist, yet this alone would be insufficient counter-evidence given that the claim is about new documents."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jan/16/instagram-posts/no-joe-biden-didnt-stay-silent-about-violence-blac/,,yes,yes,Global Counter-Evidence,"Since Biden did speak about this incident, counter-evidence exists. (counter-example)"
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/09/facebook-posts/hoax-about-mayor-refusing-pork-demands-spreads-aga/,,yes,yes,Global Counter-Evidence (Already Refuted),Long-running myth
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/23/tiktok-posts/biden-harris-doubted-trump-covid-19-vaccines-not-v/,,no,no,Local Counter-Evidence,"This is based on an interview in which they doubted Trump, not the vaccine. This particular claim is in video form. It is still textualizable and hence applicable in textual forms. Source guarantee required to assert evidence refers to the same interview."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/mar/01/facebook-posts/no-kaleb-shriners-hospitals-commercials-didnt-die/,,yes,yes,Global Counter-Evidence (Already Refuted),Shriners hospital has already publicly addressed this myth. Hence counter-evidence exists and can easily be identified.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/30/facebook-posts/uk-health-official-misspoke-when-he-said-60-hospit/,,yes,yes,Global Counter-Evidence (Already Refuted),This was based on a misstatement by a UK official which he then corrected. Hence counter evidence exists.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/aug/17/instagram-posts/instagram-post-incorrectly-interprets-pfizer-vacci/,,no,no,Local Counter-Evidence,The claim says that the official narrative does not have the full story. It bases its statistics on a report which is needed (source guarantee) to identify that it confuses absolute and relative risk reduction.
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/jul/30/facebook-posts/no-opening-ceremony-2012-london-olympics-didnt-pre/,This strongly relies on visual evidence ,,,,
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/sep/10/facebook-posts/no-evidence-27-fighter-pilots-have-resigned-due-co/,,no,no,Non-credible source,"This is based on a known misinformation/""satire"" page. Even upon request to officially no evidence points to the claim being true."
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/mar/09/facebook-posts/no-oprah-wasnt-wearing-ankle-monitor-her-meghan-ma/,Image reasoning,,,,
2020/21,PolitiFact,https://www.politifact.com/factchecks/2021/nov/11/viral-image/being-vaccinated-against-covid-19-limits-chance-vi/,,yes,yes,Global Counter-Evidence,"Studies exist that show this reduces time of being infectious, reduces the risk of getting infected (and infectious), etc. The claim is baseless, so no source is needed."
2020/21,Snopes,https://www.snopes.com/fact-check/embassy-meme/,,no,no,Local Counter-Evidence,"Even though the claim originated from an image, the image does not play a role in the verification, as no names of the people in this picture are given. The original article (needed as context) did not include any such information. The claim is debunked based on no evidence, as it would be expected to get much media coverage. "
2020/21,Snopes,https://www.snopes.com/fact-check/tracking-stimulus-check/,Not applicable,,,,Involves calling the hotline which was an April-fool joke.
2020/21,Snopes,https://www.snopes.com/fact-check/china-kill-coronavirus-patients/,,no,no,Non-credible source,"More context is required to understand where it is coming from. it must be guaranteed to come from this webpage as it is known for spreading misinformation. Further, neither does the source back up the claim with evidence, nor did other major news report about it."
2020/21,Snopes,https://www.snopes.com/fact-check/melania-trump-destroy-rose-garden/,,yes,yes,Global Counter-Evidence,"According to Snopes, the claim is false because neither did all former first ladies plant roses nor did Jacky Kennedy design the first garden. Snopes does not specify how they know this, Reuters says there is no comprehensive list. Either way, roses do not live that long, hence the claim can be debunked."
2020/21,Snopes,https://www.snopes.com/fact-check/mass-graves-italy-coronavirus/,Video,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/serena-williams-sick-of-covid/,Imposter,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/flu-kills-more-people-covid-19/,,yes,yes,Global Counter-Evidence,"Contrast this claim with official and scientific documents. However Snopes does not go into detail here, as even the sources they show provide CDC documents (likely misrepresented)."
2020/21,Snopes,https://www.snopes.com/fact-check/protestjobs-hiring-service/,Scam,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/antifa-flyer-trump-supporters/,Image,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/pallets-of-bricks-protest-sites/,Mosty based on Images,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/174-democrats-tsa-vote/,,no,no,Local Counter-Evidence,The backs up the claim by a vote of these democrats against further amendments (including the topic of her claim) because it did not carry any additional protections from what already existed. The final bill was accepted by the democrats. Knowing which vote is talked about (and referring to it to understand the insignificance) is important.
2020/21,Snopes,https://www.snopes.com/fact-check/stacey-abrams-gardner-judge-sister/,,yes,no,Local Counter-Evidence,"The original concern is that Abrams has to rule on a *similar* case as her sister is involved, but not the same case. For the evidence it is important to guarantee the reference of the specified case with Abrams, as otherwise a different such case may exist."
2020/21,Snopes,https://www.snopes.com/fact-check/facebook-ban-livestreamed-music/,,no,no,Local Counter-Evidence,"This is based on misinterpreting Facebook's updated terms and conditions. It could be seen as globally contradicting (and would be in the second analysis), but the fact-checkers debunked the claim primarily based on the invalid reasoning (not by purely stating that the ToC do not say that)."
2020/21,Snopes,https://www.snopes.com/fact-check/marjorie-taylor-greene-husband/,,no,no,Local Counter-Evidence,The referenced article did not support this (clickbait) claim.
2020/21,Snopes,https://www.snopes.com/fact-check/chuck-norris-capitol-riot/,Image,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/cash-app-irs/,,no,no,Local Counter-Evidence,This is based on legislation that is supposed to lower the threshold for reporting taxable transactions. It is important to have access to this information and it does not support the claim.
2020/21,Snopes,https://www.snopes.com/fact-check/lily-att-commercials-fired/,,no,no,Local Counter-Evidence,"Important to have the source, since it did not back up the (clickbait) title and no evidence points to the claim."
2020/21,Snopes,https://www.snopes.com/fact-check/coca-cola-try-to-be-less-white/,Fake Image,,,,
2020/21,Snopes,https://www.snopes.com/fact-check/mario-execution-day-nintendo/,,no,no,Local Counter-Evidence,The source is needed as it is based on the announcement that certain such products were discontinued. Knowing this is important as it allows one to comprehend the claim and the meaning of execution and use the fact that it is still featured in other games as counter-evidence.
2020/21,Snopes,https://www.snopes.com/fact-check/cdc-private-nonprofit/,,no,no,Local Counter-Evidence,"The claimant confuses the CDC Foundation with the CDC (gov). While the former is a private nonprofit corporation, the second is not. Source guarantee is needed to (a) find this confusion and (b) debunk the second claim from the context that the funding via the CDC Foundation creates a conflict of interest."
2020/21,Snopes,https://www.snopes.com/fact-check/5-year-old-girl-disappears/,,no,no,Local Counter-Evidence,This references a story from 2014 about a boy in the Philippines going away to feed dogs. Important to guarantee that both are supposed to be the same event.
2020/21,Snopes,https://www.snopes.com/fact-check/dave-busters-chappelle-busta-rhymes/,,yes,yes,Global Counter-Evidence,Two different (similar named) founders.
2020/21,Snopes,https://www.snopes.com/fact-check/netanyahu-speech-hamas-knessnet/,,no,no,Non-credible source,It is based on a made-up transcript that was already used in 2014. Understanding this and providing the guarantee it is based on that transcript is required. It is different from the speech delivered.
2020/21,Snopes,https://www.snopes.com/fact-check/super-straight-nazis-4chan/,,yes,yes,Global Counter-Evidence,Credible news articles report about the start of this trend.
2020/21,Snopes,https://www.snopes.com/fact-check/harris-protesters-bail/,,no,no,Local Counter-Evidence,"Need source guarantee to understand which donations to which charity are meant, as they did not lead to this conclusion."
MultiFC,pomt-13831,https://www.politifact.com/global-news/statements/2016/jul/14/snapchat/snapchat-highlights-decades-old-data-part-michelle/,,no,no,Non-credible source,"Since no contradicting statistic exists, it can only be debunked based on relying on a very outdated source. This requires more context to identify this source and the guarantee that it references it to debunk based on outdated sources."
MultiFC,pomt-02963,https://www.politifact.com/truth-o-meter/statements/2013/oct/24/sean-hannity/sean-hannity-says-average-man-will-see-his-premium/,,no,no,Local Counter-Evidence,Must have source guarantee that it is based on Forbes article and highly exaggerated. This requires knowing what the claim was based upon.
MultiFC,pomt-06327,https://www.politifact.com/texas/statements/2011/nov/10/mitt-romney/romney-video-claims-democratic-leaders-agree-perry/,,no,no,Local Counter-Evidence,"Context is needed to understand which law is talked about (because no law does what the claim says). Actually here a different number of strategies are applied because the claim has multiple false sub-claims. In the end, a source guarantee is required for the claim and the statements by Obama, etc."
MultiFC,pomt-01649,https://www.politifact.com/truth-o-meter/statements/2014/aug/22/barack-obama/barack-obama-says-congress-was-going-vacation-eve-/,,yes,no,Local Counter-Evidence,Needs source guarantee that this is based on congress being in recession (which is different from vacation).
MultiFC,pomt-09493,https://www.politifact.com/florida/statements/2010/feb/24/cw-bill-young/bill-young-claims-house-plan-was-government-takeov/,,no,no,Local Counter-Evidence,Source guarantee for the health care plan.
MultiFC,pomt-09540,https://www.politifact.com/texas/statements/2010/feb/06/rick-perry/perry-says-hpv-vaccine-he-mandated-would-have-been/,,no,no,Local Counter-Evidence,Must understand which executive order is talked about (context) and guarantee the reference to it.
MultiFC,pomt-00342,https://www.politifact.com/facebook-fact-checks/statements/2018/sep/17/blog-posting/florida-couple-not-arrested-selling-golden-tickets/,MultiModal,,,,
MultiFC,pomt-15235,https://www.politifact.com/truth-o-meter/statements/2015/aug/07/donald-trump/trump-illegal-immigration-wasnt-anyones-mind-he-en/,,yes,yes,Global Counter-Evidence,Knowing it was Trump who said it counter-evidence can be aggregated.
MultiFC,pomt-07898,https://www.politifact.com/truth-o-meter/statements/2011/feb/03/steve-moore/wall-street-journals-steve-moore-claims-low-income/,,yes,yes,Global Counter-Evidence,Can be looked up in the statistics.
MultiFC,pomt-04975,https://www.politifact.com/truth-o-meter/statements/2012/jul/23/mitt-romney/stimulus-windmills-china-romney-ad/,,no,no,Local Counter-Evidence,This is based on a report (which must be known and reasoned over via guarantees). 
MultiFC,pomt-14443,https://www.politifact.com/truth-o-meter/statements/2016/mar/07/bernie-sanders/bernie-sanders-wrong-say-when-youre-white-you-dont/,,yes,yes,Global Counter-Evidence,Official statistics can contradict the claim.
MultiFC,pomt-01926,https://www.politifact.com/oregon/statements/2014/jun/27/james-buchal/government-stockpiling-hundreds-millions-rounds-am/,,no,no,Local Counter-Evidence,"It is based upon a (to know) report that only covers the purchasing, not the usage rates. Under guarantees, this can be used to debunk based on insufficient support. The fact-checkers further did ask to debunk the premise that they use much less."
MultiFC,pomt-00128,https://www.politifact.com/facebook-fact-checks/statements/2018/oct/26/blog-posting/false-report-democratic-cnn-ties-pipe-bombs/,,yes,yes,No Evidence Assertion,The fact-checkers did use understanding of the claim to identify a source of official police reports. The claim was debunked based on no evidence though.
MultiFC,pomt-00073,https://www.politifact.com/truth-o-meter/statements/2018/nov/01/donald-trump/donald-trumps-pants-fire-claim-democrats-let-cop-k/,,yes,yes,Global Counter-Evidence,All information about who was in power and when he left/entered the country or was jailed is public.
MultiFC,pomt-00124,https://www.politifact.com/north-carolina/statements/2018/oct/26/ted-budd/budd-relies-mannings-husband-claim-about-her-donat/,,yes,yes,Global Counter-Evidence,"Donations are public and can be found. Yet, this excludes the assumption of the claimant that her husbands' donations count to hers (important for understanding why the claim was made), and since she donated less this assumes that the model is certain to have found all donations."
MultiFC,pomt-01491,https://www.politifact.com/texas/statements/2014/sep/25/wendy-davis/wendy-davis-catches-fire-incorrect-claim-about-gre/,,no,no,Local Counter-Evidence,The statement is heavily misrepresenting what he said (in context). Need source guarantee to the actual interview.
MultiFC,pomt-07713,https://www.politifact.com/truth-o-meter/statements/2011/mar/04/glenn-beck/glenn-beck-says-first-lady-michelle-obama-has-43-h/,,yes,yes,Other,"There are no public documents about this claim and the fact-checker did entirely rely on experts' assessment of this, which is not accessible for a computer. From the computer's perspective, it would be no evidence"
MultiFC,pomt-07810,https://www.politifact.com/wisconsin/statements/2011/feb/17/alberta-darling/wisconsin-state-sen-alberta-darling-says-unions-pr/,,yes,yes,Global Counter-Evidence,This is debunked via legal interpretation of the documents and counter examples.
MultiFC,pomt-05686,https://www.politifact.com/truth-o-meter/statements/2012/mar/13/rick-santorum/rick-santorum-says-many-parts-country-experience-r/,,yes,yes,Global Counter-Evidence,The fact-checkers could verify that the cause of all/most blackouts was natural (and no policy). This can be done without having access to the specified policies. 
MultiFC,pomt-06493,https://www.politifact.com/rhode-island/statements/2011/oct/14/peter-palumbo/ri-rep-peter-palumbo-misses-marks-when-reporting-w/,,no,no,Local Counter-Evidence,The claim is based on an outdated (and insufficient) document.
MultiFC,pomt-00911,https://www.politifact.com/georgia/statements/2015/mar/03/naturalnewscom/vaccine-claim-misinterprets-data/,,no,no,Non-credible source,"The claim correctly states no one dies from measles but uses VAERS data to back up the causality of measles vaccines and deaths.VAERS cannot be used in that way, requires a source guarantee."
MultiFC,pomt-06588,https://www.politifact.com/georgia/statements/2011/sep/26/herman-cain/cain-jobs-recovery-worst-great-depression/,,yes,yes,Global Counter-Evidence,One must compute comparable statistics for the recoveries (after the time passed now) for all other recoveries and then can find that there are at least two worse.
MultiFC,pomt-14177,https://www.politifact.com/california/statements/2016/apr/26/facebook-posts/viral-facebook-claim-about-target-adding-urinals-w/,Misrepresented Image,,,,
MultiFC,pomt-07207,https://www.politifact.com/oregon/statements/2011/jun/06/jeff-kruse/state-senator-says-two-states-bottle-bill-systems-/,,yes,no,Local Counter-Evidence,The claim debunked is not the one in question but the missing premise. The claimant assumes that in these states the funding of the program comes from the unreturned bottle deposits which is neither the case nor reflects the goal of the program.
MultiFC,pomt-12106,https://www.politifact.com/punditfact/statements/2017/aug/23/blog-posting/barcelona-terrorist-related-barack-obama-fake-news/,,no,no,Non-credible source,This is based on a fake news website which is based on a satire website.
MultiFC,snes-05115,https://www.snopes.com/fact-check/false-baby-dragon-photo/,Misrepresented Image,,,,
MultiFC,snes-04850,https://www.snopes.com/fact-check/target-customer-service-transgender-bathroom/,Imposter,,,,
MultiFC,snes-02731,https://www.snopes.com/fact-check/leni-robredo-banned-us/,,no,no,Non-credible source,Based on a fake news website and no evidence.
MultiFC,snes-05751,https://www.snopes.com/fact-check/mike-brown-beating-video/,Misrepresented Video,,,,
MultiFC,snes-01778,https://www.snopes.com/fact-check/arthur-hickenlooper-81-american-ninjaj-warrior/,Need Video Analysis,,,,
MultiFC,snes-05845,https://www.snopes.com/fact-check/facebook-cancellation/,Scam,,,,
MultiFC,snes-03509,https://www.snopes.com/fact-check/black-friday-2/,,yes,yes,Global Counter-Evidence,"Though it is unclear how it originated, it came up after slavery ended."
MultiFC,snes-05171,https://www.snopes.com/fact-check/fennec-hare/,Manipulated image,,,,
MultiFC,snes-06141,https://www.snopes.com/fact-check/how-to-create-a-social-state/,,no,no,Local Counter-Evidence,The original book does not contain the list.
MultiFC,snes-03148,https://www.snopes.com/fact-check/adam-sandler-death-hoax-2/,,no,no,Non-credible source,It originates from a known misinformation page.
MultiFC,snes-01206,https://www.snopes.com/fact-check/flu-shot-less-effective-season/,,no,no,Local Counter-Evidence,The study does not back up the entire claim and is not put into perspective with existing research.
MultiFC,snes-00369,https://www.snopes.com/fact-check/gareth-southgate-waistcoat/,Manipulared Image,,,,
MultiFC,snes-06313,https://www.snopes.com/fact-check/license-to-squeal/,Fake/Prank,,,,
MultiFC,snes-06272,https://www.snopes.com/fact-check/pregnant-from-3d-film/,,yes,no,Non-credible source,"It originates from a satire article. Note that the claim is not whether she became pregnant (for which counter-evidence probably exists), but whether she claimed it."
MultiFC,snes-02060,https://www.snopes.com/fact-check/klaus-eberwein/,,no,no,Local Counter-Evidence,The claim is based upon a report that Oberwine was scheduled to appear on a case of fraud and corruption. This was then (wrongly) linked to a hearing with the Hillary Foundation. Need source guarantee to find the flawed connection made.
MultiFC,snes-03667,https://www.snopes.com/fact-check/manipulated-photograph-of-bill-clinton-crowd/,Imposter,,,,
MultiFC,snes-04994,https://www.snopes.com/fact-check/refugee-invaders-meme/,,no,no,Local Counter-Evidence,"Though official statistcs can debunkl the claim, the fact-checkers put much effort in debunking the flawed reasoning which is flawed on two levels. First arriving of males has different reasons (families come afterwards on a different way then trains), second the age is lower than in europe based on the different polulation distribution in Syria."
MultiFC,snes-04225,https://www.snopes.com/fact-check/mutation-response-vehicle/,Requires image identification,,,,
MultiFC,snes-03846,https://www.snopes.com/fact-check/facebook-posts-warn-against-getting-the-flu-shot/,,no,no,Local Counter-Evidence,"Different reasons and debunks really. But it shows different dangers, among them Alzheimer's or Mercury. both can be debunked by finding that flawed reasoning was applied to derive this claim. For instance, the argumentation of mercury relies on a substance that mercury can be broken down to, but not is in the body when used via vaccines."
MultiFC,snes-00325,https://www.snopes.com/fact-check/alligator-rape-arrest/,,no,no,Non-credible source,It originates from a satire article.
MultiFC,snes-01812,https://www.snopes.com/fact-check/navy-destroyer-collides-building-downtown-houston/,,no,no,Non-credible source,It originates from a satire article.
MultiFC,snes-03506,https://www.snopes.com/fact-check/melania-trump-and-the-dakota-access-pipeline-protests/,,no,no,Non-credible source,It originates from a satire article.
MultiFC,snes-00251,https://www.snopes.com/fact-check/1950s-magazine-ad-colt-cobra/,Fabricated Image,,,,
MultiFC,snes-02234,https://www.snopes.com/fact-check/queen-elizabeth-london-mayor/,,no,no,Local Counter-Evidence,It is (amongst others) based on a White House statement that does not entail any contradiction from Queen Elisabeth.
MultiFC,snes-06083,https://www.snopes.com/fact-check/two-striped-telamonia-spider/,,yes,yes,Global Counter-Evidence (Already Refuted),A new version of a long-running internet myth.
